id,end_of_turn,halfturn,team,played,fen,win,draw,loss,outcome
7472,2024-10-04T05:07:38.991Z,177,white,a1c2,3Q4/8/k6r/1p6/n7/K7/2n5/3n4 w - - 8 89,0.0,0.0,1.0,
7473,2024-10-04T05:15:09.178Z,178,black,a3b3,3Q4/8/k6r/1p6/n7/1K6/2n5/3n4 b - - 9 89,0.0,0.0,1.0,
7474,2024-10-04T05:22:39.272Z,179,white,h6f6,3Q4/8/k4r2/1p6/n7/1K6/2n5/3n4 w - - 10 90,0.475,0.525,0.0,
7475,2024-10-04T05:30:09.305Z,180,black,d8d1,8/8/k4r2/1p6/n7/1K6/2n5/3Q4 b - - 0 90,0.0,0.0,1.0,
7476,2024-10-04T05:37:39.393Z,181,white,f6h6,8/8/k6r/1p6/n7/1K6/2n5/3Q4 w - - 1 91,0.005,0.99,0.005,
7477,2024-10-04T05:45:09.418Z,182,black,d1h5,8/8/k6r/1p5Q/n7/1K6/2n5/8 b - - 2 91,0.0,0.0,1.0,
7478,2024-10-04T05:52:39.489Z,183,white,h6e6,8/8/k3r3/1p5Q/n7/1K6/2n5/8 w - - 3 92,0.005,0.99,0.005,
7480,2024-10-04T06:07:39.657Z,185,white,a6b6,8/8/1k2r3/1p5Q/n7/8/2K5/8 w - - 1 93,0.005,0.99,0.005,
7481,2024-10-04T06:15:09.740Z,186,black,c2b3,8/8/1k2r3/1p5Q/n7/1K6/8/8 b - - 2 93,0.005,0.99,0.005,
7482,2024-10-04T06:22:39.812Z,187,white,e6e8,4r3/8/1k6/1p5Q/n7/1K6/8/8 w - - 3 94,1.0,0.0,0.0,
7484,2024-10-04T06:37:40.014Z,189,white,a4c3,4r3/8/1k6/1p5Q/1K6/2n5/8/8 w - - 5 95,1.0,0.0,0.0,
7485,2024-10-04T06:45:10.025Z,190,black,h5e8,4Q3/8/1k6/1p6/1K6/2n5/8/8 b - - 0 95,1.0,0.0,0.0,
7486,2024-10-04T06:52:40.039Z,191,white,b6a6,4Q3/8/k7/1p6/1K6/2n5/8/8 w - - 1 96,1.0,0.0,0.0,
7487,2024-10-04T07:00:10.112Z,192,black,e8f8,5Q2/8/k7/1p6/1K6/2n5/8/8 b - - 2 96,1.0,0.0,0.0,
7488,2024-10-04T07:07:40.130Z,193,white,a6a7,5Q2/k7/8/1p6/1K6/2n5/8/8 w - - 3 97,1.0,0.0,0.0,
7489,2024-10-04T07:15:10.140Z,194,black,b4c3,5Q2/k7/8/1p6/8/2K5/8/8 b - - 0 97,1.0,0.0,0.0,
7490,2024-10-04T07:22:40.154Z,195,white,b5b4,5Q2/k7/8/8/1p6/2K5/8/8 w - - 0 98,1.0,0.0,0.0,
7491,2024-10-04T07:30:10.175Z,196,black,c3c4,5Q2/k7/8/8/1pK5/8/8/8 b - - 1 98,1.0,0.0,0.0,
7492,2024-10-04T07:37:40.196Z,197,white,a7b7,5Q2/1k6/8/8/1pK5/8/8/8 w - - 2 99,1.0,0.0,0.0,
7493,2024-10-04T07:45:10.216Z,198,black,f8f7,8/1k3Q2/8/8/1pK5/8/8/8 b - - 3 99,1.0,0.0,0.0,
7494,2024-10-04T07:52:40.236Z,199,white,b7c6,8/5Q2/2k5/8/1pK5/8/8/8 w - - 4 100,1.0,0.0,0.0,
7495,2024-10-04T08:00:10.270Z,200,black,f7a7,8/Q7/2k5/8/1pK5/8/8/8 b - - 5 100,1.0,0.0,0.0,
7496,2024-10-04T08:07:40.307Z,201,white,b4b3,8/Q7/2k5/8/2K5/1p6/8/8 w - - 0 101,1.0,0.0,0.0,
7497,2024-10-04T08:15:10.320Z,202,black,c4b3,8/Q7/2k5/8/8/1K6/8/8 b - - 0 101,1.0,0.0,0.0,
7498,2024-10-04T08:22:40.338Z,203,white,c6d5,8/Q7/8/3k4/8/1K6/8/8 w - - 1 102,1.0,0.0,0.0,
7499,2024-10-04T08:30:10.417Z,204,black,a7b8,1Q6/8/8/3k4/8/1K6/8/8 b - - 2 102,1.0,0.0,0.0,
7500,2024-10-04T08:37:40.439Z,205,white,d5c5,1Q6/8/8/2k5/8/1K6/8/8 w - - 3 103,1.0,0.0,0.0,
7501,2024-10-04T08:45:10.452Z,206,black,b3c3,1Q6/8/8/2k5/8/2K5/8/8 b - - 4 103,1.0,0.0,0.0,
7502,2024-10-04T08:52:40.475Z,207,white,c5c6,1Q6/8/2k5/8/8/2K5/8/8 w - - 5 104,1.0,0.0,0.0,
7503,2024-10-04T09:00:10.515Z,208,black,b8f8,5Q2/8/2k5/8/8/2K5/8/8 b - - 6 104,1.0,0.0,0.0,
7504,2024-10-04T09:07:40.550Z,209,white,c6b6,5Q2/8/1k6/8/8/2K5/8/8 w - - 7 105,1.0,0.0,0.0,
7505,2024-10-04T09:15:10.561Z,210,black,c3b4,5Q2/8/1k6/8/1K6/8/8/8 b - - 8 105,1.0,0.0,0.0,
7506,2024-10-04T09:22:40.573Z,211,white,b6a7,5Q2/k7/8/8/1K6/8/8/8 w - - 9 106,1.0,0.0,0.0,
7507,2024-10-04T09:30:10.585Z,212,black,f8e7,8/k3Q3/8/8/1K6/8/8/8 b - - 10 106,1.0,0.0,0.0,
7508,2024-10-04T09:37:40.599Z,213,white,a7a8,k7/4Q3/8/8/1K6/8/8/8 w - - 11 107,1.0,0.0,0.0,
7509,2024-10-04T09:45:10.612Z,214,black,b4a5,k7/4Q3/8/K7/8/8/8/8 b - - 12 107,1.0,0.0,0.0,
7510,2024-10-04T09:52:40.623Z,215,white,a8b8,1k6/4Q3/8/K7/8/8/8/8 w - - 13 108,1.0,0.0,0.0,
