id,played,fen,end_of_turn,win,draw,loss,outcome
6262,f4e6,1rbk1r2/pp1p1p1p/3Pnb2/8/2P3PP/p1N1R2B/R7/2B1KQ2 w - - 6 27,2024-09-27 21:50:47.132401+00,1,0,0,
6263,f1f3,1rbk1r2/pp1p1p1p/3Pnb2/8/2P3PP/p1N1RQ1B/R7/2B1K3 b - - 7 27,2024-09-27 21:58:17.402987+00,1,0,0,
6264,e6d4,1rbk1r2/pp1p1p1p/3P1b2/8/2Pn2PP/p1N1RQ1B/R7/2B1K3 w - - 8 28,2024-09-27 22:05:47.427525+00,1,0,0,
6265,f3g3,1rbk1r2/pp1p1p1p/3P1b2/8/2Pn2PP/p1N1R1QB/R7/2B1K3 b - - 9 28,2024-09-27 22:13:17.575088+00,1,0,0,
6266,f8e8,1rbkr3/pp1p1p1p/3P1b2/8/2Pn2PP/p1N1R1QB/R7/2B1K3 w - - 10 29,2024-09-27 22:20:47.766248+00,1,0,0,
6267,e1f1,1rbkr3/pp1p1p1p/3P1b2/8/2Pn2PP/p1N1R1QB/R7/2B2K2 b - - 11 29,2024-09-27 22:28:17.889945+00,1,0,0,
6268,d4b3,1rbkr3/pp1p1p1p/3P1b2/8/2P3PP/pnN1R1QB/R7/2B2K2 w - - 12 30,2024-09-27 22:35:47.904567+00,1,0,0,
6269,a2h2,1rbkr3/pp1p1p1p/3P1b2/8/2P3PP/pnN1R1QB/7R/2B2K2 b - - 13 30,2024-09-27 22:43:18.084521+00,1,0,0,
6270,e8f8,1rbk1r2/pp1p1p1p/3P1b2/8/2P3PP/pnN1R1QB/7R/2B2K2 w - - 14 31,2024-09-27 22:50:48.146575+00,1,0,0,
6271,h2e2,1rbk1r2/pp1p1p1p/3P1b2/8/2P3PP/pnN1R1QB/4R3/2B2K2 b - - 15 31,2024-09-27 22:58:18.263623+00,1,0,0,
6272,h7h5,1rbk1r2/pp1p1p2/3P1b2/7p/2P3PP/pnN1R1QB/4R3/2B2K2 w - - 0 32,2024-09-27 23:05:48.344368+00,1,0,0,
6273,c3a4,1rbk1r2/pp1p1p2/3P1b2/7p/N1P3PP/pn2R1QB/4R3/2B2K2 b - - 1 32,2024-09-27 23:13:18.529515+00,1,0,0,
6274,f8g8,1rbk2r1/pp1p1p2/3P1b2/7p/N1P3PP/pn2R1QB/4R3/2B2K2 w - - 2 33,2024-09-27 23:20:48.556499+00,1,0,0,
6275,e3e4,1rbk2r1/pp1p1p2/3P1b2/7p/N1P1R1PP/pn4QB/4R3/2B2K2 b - - 3 33,2024-09-27 23:28:18.652013+00,1,0,0,
6276,f6g5,1rbk2r1/pp1p1p2/3P4/6bp/N1P1R1PP/pn4QB/4R3/2B2K2 w - - 4 34,2024-09-27 23:35:48.677117+00,1,0,0,
6277,e2g2,1rbk2r1/pp1p1p2/3P4/6bp/N1P1R1PP/pn4QB/6R1/2B2K2 b - - 5 34,2024-09-27 23:43:18.772363+00,1,0,0,
6278,g5h4,1rbk2r1/pp1p1p2/3P4/7p/N1P1R1Pb/pn4QB/6R1/2B2K2 w - - 0 35,2024-09-27 23:50:48.803654+00,1,0,0,
6279,f1e2,1rbk2r1/pp1p1p2/3P4/7p/N1P1R1Pb/pn4QB/4K1R1/2B5 b - - 1 35,2024-09-27 23:58:18.858397+00,0,0.018,0.982,
