id,instant,player_pseudo,turn_id,move,accuracy,points
1534,2024-09-27 12:46:07.635863+00,Delphinia Anxieuse,6190,g5d5,1,256
1535,2024-09-27 12:47:35.838178+00,Calypso Anxieuse,6190,g5d5,1,215
1536,2024-09-27 12:48:55.53074+00,Valerian Prédateur,6190,g5e7,0.8800966,286
1537,2024-09-27 12:49:13.514868+00,Valerian Prédateur,6190,g5g4,0.911281,233
1538,2024-09-27 12:49:31.49312+00,Valerian Prédateur,6190,g5d5,1,187
1539,2024-09-27 12:51:22.999056+00,Elowen Intraitable,6191,e7d6,0.97030306,316
1540,2024-09-27 12:51:30.140295+00,Valentin Nocturne,6191,e7d6,0.97030306,248
1541,2024-09-27 12:51:56.907629+00,Valentin Nocturne,6191,e7f6,0.97689974,318
1542,2024-09-27 12:52:21.236123+00,Nathaniel Acharné,6191,b7b6,0.8972874,292
1543,2024-09-27 12:52:45.187928+00,Valentin Nocturne,6191,g4e6,1,325
1544,2024-09-27 12:55:37.182107+00,Amara Calculatrice,6191,e7f6,0.97689974,318
1545,2024-09-27 12:55:55.652659+00,Valentin Nocturne,6191,g4f3,0.95429736,310
1546,2024-09-27 12:56:10.895041+00,Valentin Nocturne,6191,g4e6,1,325
1547,2024-09-27 12:58:50.692074+00,Valerian Prédateur,6192,d5c4,0.7523686,245
1548,2024-09-27 12:58:54.438733+00,Lucius Orphelin,6192,d5c5,0.83717835,272
1549,2024-09-27 12:59:16.881009+00,Montague Dévoué,6192,d5a5,0.9965801,324
1550,2024-09-27 12:59:20.39554+00,Ludovic Instable,6192,d5e5,0.94415635,307
1551,2024-09-27 13:00:11.308438+00,Endora Orpheline,6192,d5e6,0.7574651,246
1552,2024-09-27 13:00:23.739461+00,Endora Orpheline,6192,d5e5,0.94415635,242
1553,2024-09-27 13:02:13.477341+00,Delphinia Anxieuse,6192,d5b5,0.9338379,304
1554,2024-09-27 13:02:18.073767+00,Lucius Orphelin,6192,d5c5,0.83717835,272
1555,2024-09-27 13:02:19.261354+00,Lucius Orphelin,6192,d5c5,0.83717835,272
1556,2024-09-27 13:02:27.416896+00,Delphinia Anxieuse,6192,d5d3,0.9236806,300
1557,2024-09-27 13:02:28.451303+00,Delphinia Anxieuse,6192,d5b5,0.9338379,304
1558,2024-09-27 13:04:39.447791+00,Delphinia Anxieuse,6192,d5c5,0.83717835,214
1559,2024-09-27 13:04:43.312159+00,Delphinia Anxieuse,6192,d5c5,0.83717835,214
1560,2024-09-27 13:04:48.896633+00,Delphinia Anxieuse,6192,d5b5,0.9338379,304
1561,2024-09-27 13:04:53.012448+00,Delphinia Anxieuse,6192,d5a5,0.9965801,255
1562,2024-09-27 13:05:02.181424+00,Valencia Anxieuse,6192,d5e5,0.94415635,203
1563,2024-09-27 13:06:10.746412+00,Elowen Intraitable,6193,e7d6,0.96208245,313
1564,2024-09-27 13:06:11.104891+00,Valentin Nocturne,6193,c7d7,0.9408531,306
1565,2024-09-27 13:06:16.619394+00,Ambrose Sardonique,6193,c7d7,0.9408531,241
1566,2024-09-27 13:06:59.519021+00,Nathaniel Acharné,6193,e7d6,0.96208245,246
1567,2024-09-27 13:10:45.535767+00,Amara Calculatrice,6193,c7d8,0.90598124,295
1568,2024-09-27 13:13:35.718311+00,Endora Orpheline,6194,e3a7,0.9908871,322
1569,2024-09-27 13:13:46.870256+00,Valencia Anxieuse,6194,e1d1,0.95066255,309
1570,2024-09-27 13:13:47.813209+00,Montague Dévoué,6194,e5d4,0.9125666,297
